epoch,loss,lr
1,0.5194837083419164,1e-05
2,0.46421736578146616,1e-05
3,0.4488886242111524,1e-05
4,0.45364162723223367,1e-05
5,0.42278938641150793,1e-05
1,0.713265386223793,9.939057285945933e-06,physics
2,0.6794645389914513,9.757729755661012e-06,physics
1,0.7631677648425103,9.757729755661012e-06,physics
1,0.7350104665756225,9.757729755661012e-06,physics
2,0.6857349801063538,9.054634122155991e-06,physics
3,0.6670174342393875,7.959536998847744e-06,physics
4,0.6393956497311593,6.579634122155991e-06,physics
5,0.6311207270622253,5.050000000000001e-06,physics
6,0.6130662745237351,3.520365877844011e-06,physics
7,0.6064236241579056,2.140463001152259e-06,physics
8,0.625402714908123,1.045365877844011e-06,physics
9,0.6069148305058479,3.422702443389901e-07,physics
10,0.637482511997223,1.0000000000000001e-07,physics
